ticker,side,model_p,entry_price,shares,fee,won,pnl,minutes_left,ts
MKT-217,yes,0.9473,0.93,16.13,0.0735,true,1.0556,10,2026-01-18T22:30:00Z
MKT-218,yes,0.8391,0.82,18.29,0.189,true,3.1032,5,2026-01-19T00:00:00Z
MKT-219,yes,0.9652,0.95,15.79,0.0525,true,0.737,13,2026-01-19T01:30:00Z
MKT-220,yes,0.8787,0.86,17.44,0.147,false,-15.1454,5,2026-01-19T03:00:00Z
MKT-221,yes,0.9658,0.95,15.79,0.0525,true,0.737,13,2026-01-19T04:30:00Z
MKT-222,yes,0.8536,0.83,18.07,0.1785,true,2.8934,5,2026-01-19T06:00:00Z
MKT-223,yes,0.9612,0.94,15.96,0.063,true,0.8946,5,2026-01-19T07:30:00Z
MKT-224,yes,0.8328,0.81,18.52,0.1995,true,3.3193,13,2026-01-19T09:00:00Z
MKT-225,yes,0.9373,0.92,16.3,0.084,true,1.22,5,2026-01-19T10:30:00Z
MKT-226,yes,0.9168,0.9,16.67,0.105,true,1.562,5,2026-01-19T12:00:00Z
MKT-227,yes,0.914,0.89,16.85,0.1155,true,1.738,7,2026-01-19T13:30:00Z
MKT-228,yes,0.9248,0.9,16.67,0.105,true,1.562,13,2026-01-19T15:00:00Z
MKT-229,yes,0.8651,0.85,17.65,0.1575,false,-15.16,5,2026-01-19T16:30:00Z
MKT-230,yes,0.8782,0.86,17.44,0.147,true,2.2946,7,2026-01-19T18:00:00Z
MKT-231,yes,0.8216,0.8,18.75,0.21,true,3.54,5,2026-01-19T19:30:00Z
MKT-232,yes,0.8618,0.84,17.86,0.168,true,2.6896,13,2026-01-19T21:00:00Z
MKT-233,yes,0.8913,0.87,17.24,0.1365,true,2.1047,7,2026-01-19T22:30:00Z
MKT-234,yes,0.8244,0.8,18.75,0.21,true,3.54,7,2026-01-20T00:00:00Z
MKT-235,yes,0.8283,0.81,18.52,0.1995,true,3.3193,10,2026-01-20T01:30:00Z
MKT-236,yes,0.8322,0.81,18.52,0.1995,true,3.3193,13,2026-01-20T03:00:00Z
MKT-237,yes,0.9588,0.94,15.96,0.063,true,0.8946,13,2026-01-20T04:30:00Z
MKT-238,yes,0.9244,0.9,16.67,0.105,true,1.562,5,2026-01-20T06:00:00Z
MKT-239,yes,0.9224,0.9,16.67,0.105,true,1.562,10,2026-01-20T07:30:00Z
MKT-240,yes,0.9309,0.91,16.48,0.0945,true,1.3887,10,2026-01-20T09:00:00Z
MKT-241,yes,0.8944,0.87,17.24,0.1365,true,2.1047,7,2026-01-20T10:30:00Z
MKT-242,yes,0.8546,0.83,18.07,0.1785,true,2.8934,7,2026-01-20T12:00:00Z
MKT-243,yes,0.8364,0.82,18.29,0.189,true,3.1032,10,2026-01-20T13:30:00Z
MKT-244,yes,0.9545,0.93,16.13,0.0735,true,1.0556,7,2026-01-20T15:00:00Z
MKT-245,yes,0.9623,0.94,15.96,0.063,true,0.8946,5,2026-01-20T16:30:00Z
MKT-246,yes,0.8282,0.81,18.52,0.1995,true,3.3193,13,2026-01-20T18:00:00Z
MKT-247,yes,0.8823,0.86,17.44,0.147,true,2.2946,7,2026-01-20T19:30:00Z
MKT-248,yes,0.879,0.86,17.44,0.147,false,-15.1454,7,2026-01-20T21:00:00Z
MKT-249,yes,0.9299,0.91,16.48,0.0945,false,-15.0913,10,2026-01-20T22:30:00Z
MKT-250,yes,0.8694,0.85,17.65,0.1575,true,2.49,7,2026-01-21T00:00:00Z
MKT-251,yes,0.8248,0.8,18.75,0.21,true,3.54,13,2026-01-21T01:30:00Z
MKT-252,yes,0.9459,0.93,16.13,0.0735,false,-15.0744,13,2026-01-21T03:00:00Z
MKT-253,yes,0.8454,0.83,18.07,0.1785,true,2.8934,13,2026-01-21T04:30:00Z
MKT-254,yes,0.8321,0.81,18.52,0.1995,true,3.3193,10,2026-01-21T06:00:00Z
MKT-255,yes,0.9042,0.88,17.05,0.126,true,1.92,5,2026-01-21T07:30:00Z
MKT-256,yes,0.8735,0.85,17.65,0.1575,true,2.49,13,2026-01-21T09:00:00Z
MKT-257,yes,0.8332,0.81,18.52,0.1995,true,3.3193,13,2026-01-21T10:30:00Z
MKT-258,yes,0.8759,0.86,17.44,0.147,false,-15.1454,7,2026-01-21T12:00:00Z
MKT-259,yes,0.8685,0.85,17.65,0.1575,true,2.49,7,2026-01-21T13:30:00Z
MKT-260,yes,0.8245,0.8,18.75,0.21,true,3.54,13,2026-01-21T15:00:00Z
MKT-261,yes,0.8261,0.81,18.52,0.1995,true,3.3193,13,2026-01-21T16:30:00Z
MKT-262,yes,0.9405,0.92,16.3,0.084,true,1.22,5,2026-01-21T18:00:00Z
MKT-263,yes,0.9321,0.91,16.48,0.0945,true,1.3887,7,2026-01-21T19:30:00Z
MKT-264,yes,0.8744,0.85,17.65,0.1575,true,2.49,10,2026-01-21T21:00:00Z
MKT-265,yes,0.8593,0.84,17.86,0.168,true,2.6896,5,2026-01-21T22:30:00Z
MKT-266,yes,0.9586,0.94,15.96,0.063,true,0.8946,10,2026-01-22T00:00:00Z
MKT-267,yes,0.8236,0.8,18.75,0.21,true,3.54,5,2026-01-22T01:30:00Z
MKT-268,yes,0.9273,0.91,16.48,0.0945,true,1.3887,13,2026-01-22T03:00:00Z
MKT-269,yes,0.9385,0.92,16.3,0.084,true,1.22,13,2026-01-22T04:30:00Z
MKT-270,yes,0.8399,0.82,18.29,0.189,true,3.1032,13,2026-01-22T06:00:00Z
MKT-271,yes,0.9404,0.92,16.3,0.084,true,1.22,5,2026-01-22T07:30:00Z
MKT-272,yes,0.9111,0.89,16.85,0.1155,true,1.738,7,2026-01-22T09:00:00Z
MKT-273,yes,0.8891,0.87,17.24,0.1365,true,2.1047,10,2026-01-22T10:30:00Z
MKT-274,yes,0.8968,0.88,17.05,0.126,true,1.92,5,2026-01-22T12:00:00Z
MKT-275,yes,0.8571,0.84,17.86,0.168,true,2.6896,7,2026-01-22T13:30:00Z
MKT-276,yes,0.8923,0.87,17.24,0.1365,true,2.1047,5,2026-01-22T15:00:00Z
MKT-277,yes,0.967,0.95,15.79,0.0525,true,0.737,7,2026-01-22T16:30:00Z
