ticker,model_p,entry_price,shares,fee,won,pnl,ts
MKT-81,0.8383,0.842,17.81,0.1659,true,2.6481,2026-01-10T10:30:00Z
MKT-82,0.89,0.894,16.78,0.1113,true,1.6674,2026-01-10T12:00:00Z
MKT-83,0.9372,0.941,15.94,0.0619,true,0.8786,2026-01-10T13:30:00Z
MKT-84,0.8312,0.835,17.96,0.1732,true,2.7902,2026-01-10T15:00:00Z
MKT-85,0.9372,0.941,15.94,0.0619,true,0.8786,2026-01-10T16:30:00Z
MKT-86,0.9371,0.941,15.94,0.0619,true,0.8786,2026-01-10T18:00:00Z
MKT-87,0.822,0.826,18.16,0.1827,true,2.9771,2026-01-10T19:30:00Z
MKT-88,0.935,0.939,15.97,0.064,true,0.9102,2026-01-10T21:00:00Z
MKT-89,0.8589,0.863,17.38,0.1438,true,2.2373,2026-01-10T22:30:00Z
MKT-90,0.8714,0.875,17.14,0.1312,true,2.0113,2026-01-11T00:00:00Z
MKT-91,0.9565,0.961,15.61,0.041,true,0.5678,2026-01-11T01:30:00Z
MKT-92,0.8008,0.805,18.63,0.2047,false,-15.2019,2026-01-11T03:00:00Z
MKT-93,0.9496,0.954,15.72,0.0483,false,-15.0452,2026-01-11T04:30:00Z
MKT-94,0.8738,0.878,17.08,0.1281,false,-15.1243,2026-01-11T06:00:00Z
MKT-95,0.9577,0.962,15.59,0.0399,true,0.5525,2026-01-11T07:30:00Z
MKT-96,0.9267,0.931,16.11,0.0724,true,1.0392,2026-01-11T09:00:00Z
MKT-97,0.9127,0.917,16.36,0.0872,true,1.2707,2026-01-11T10:30:00Z
MKT-98,0.8491,0.853,17.58,0.1543,true,2.43,2026-01-11T12:00:00Z
MKT-99,0.8387,0.843,17.79,0.1648,true,2.6282,2026-01-11T13:30:00Z
MKT-100,0.9001,0.904,16.59,0.1008,true,1.4918,2026-01-11T15:00:00Z
MKT-101,0.9377,0.942,15.92,0.0609,true,0.8625,2026-01-11T16:30:00Z
MKT-102,0.9536,0.958,15.66,0.0441,true,0.6136,2026-01-11T18:00:00Z
MKT-103,0.9571,0.961,15.61,0.041,true,0.5678,2026-01-11T19:30:00Z
MKT-104,0.9529,0.957,15.67,0.0451,true,0.6287,2026-01-11T21:00:00Z
MKT-105,0.8022,0.806,18.61,0.2037,true,3.4066,2026-01-11T22:30:00Z
MKT-106,0.8292,0.833,18.01,0.1754,true,2.8323,2026-01-12T00:00:00Z
MKT-107,0.9127,0.917,16.36,0.0872,true,1.2707,2026-01-12T01:30:00Z
MKT-108,0.8703,0.874,17.16,0.1323,false,-15.1301,2026-01-12T03:00:00Z
MKT-109,0.9041,0.908,16.52,0.0966,true,1.4232,2026-01-12T04:30:00Z
MKT-110,0.8429,0.847,17.71,0.1607,false,-15.1611,2026-01-12T06:00:00Z
MKT-111,0.8811,0.885,16.95,0.1208,true,1.8284,2026-01-12T07:30:00Z
MKT-112,0.8598,0.864,17.36,0.1428,true,2.2182,2026-01-12T09:00:00Z
MKT-113,0.8909,0.895,16.76,0.1103,true,1.6495,2026-01-12T10:30:00Z
MKT-114,0.8291,0.833,18.01,0.1754,true,2.8323,2026-01-12T12:00:00Z
MKT-115,0.9567,0.961,15.61,0.041,true,0.5678,2026-01-12T13:30:00Z
MKT-116,0.94,0.944,15.89,0.0588,true,0.831,2026-01-12T15:00:00Z
MKT-117,0.9069,0.911,16.47,0.0935,true,1.3723,2026-01-12T16:30:00Z
MKT-118,0.8085,0.812,18.47,0.1974,true,3.275,2026-01-12T18:00:00Z
MKT-119,0.8457,0.85,17.65,0.1575,true,2.49,2026-01-12T19:30:00Z
MKT-120,0.8719,0.876,17.12,0.1302,true,1.9927,2026-01-12T21:00:00Z
MKT-121,0.932,0.936,16.03,0.0672,true,0.9587,2026-01-12T22:30:00Z
MKT-122,0.8093,0.813,18.45,0.1963,true,3.2539,2026-01-13T00:00:00Z
MKT-123,0.8212,0.825,18.18,0.1837,true,2.9978,2026-01-13T01:30:00Z
MKT-124,0.9657,0.97,15.46,0.0315,true,0.4323,2026-01-13T03:00:00Z
MKT-125,0.8146,0.819,18.32,0.1901,true,3.1258,2026-01-13T04:30:00Z
MKT-126,0.8537,0.858,17.48,0.1491,true,2.3331,2026-01-13T06:00:00Z
MKT-127,0.8597,0.864,17.36,0.1428,true,2.2182,2026-01-13T07:30:00Z
MKT-128,0.8997,0.904,16.59,0.1008,true,1.4918,2026-01-13T09:00:00Z
MKT-129,0.8325,0.836,17.94,0.1722,true,2.77,2026-01-13T10:30:00Z
MKT-130,0.821,0.825,18.18,0.1837,true,2.9978,2026-01-13T12:00:00Z
MKT-131,0.9217,0.926,16.2,0.0777,true,1.1211,2026-01-13T13:30:00Z
MKT-132,0.8136,0.818,18.34,0.1911,true,3.1468,2026-01-13T15:00:00Z
MKT-133,0.8635,0.867,17.3,0.1396,true,2.1613,2026-01-13T16:30:00Z
MKT-134,0.933,0.937,16.01,0.0662,true,0.9424,2026-01-13T18:00:00Z
MKT-135,0.9362,0.94,15.96,0.063,true,0.8946,2026-01-13T19:30:00Z
MKT-136,0.8734,0.877,17.1,0.1291,true,1.9742,2026-01-13T21:00:00Z
MKT-137,0.8843,0.888,16.89,0.1176,true,1.7741,2026-01-13T22:30:00Z
MKT-138,0.8715,0.875,17.14,0.1312,true,2.0113,2026-01-14T00:00:00Z
MKT-139,0.8783,0.882,17.01,0.1239,true,1.8833,2026-01-14T01:30:00Z
MKT-140,0.8911,0.895,16.76,0.1103,true,1.6495,2026-01-14T03:00:00Z
MKT-141,0.8122,0.816,18.38,0.1932,true,3.1887,2026-01-14T04:30:00Z
MKT-142,0.8724,0.876,17.12,0.1302,false,-15.1273,2026-01-14T06:00:00Z
MKT-143,0.9592,0.963,15.58,0.0389,true,0.5376,2026-01-14T07:30:00Z
MKT-144,0.9526,0.957,15.67,0.0451,true,0.6287,2026-01-14T09:00:00Z
MKT-145,0.8446,0.849,17.67,0.1586,true,2.5096,2026-01-14T10:30:00Z
MKT-146,0.8209,0.825,18.18,0.1837,true,2.9978,2026-01-14T12:00:00Z
MKT-147,0.9126,0.917,16.36,0.0872,true,1.2707,2026-01-14T13:30:00Z
MKT-148,0.9347,0.939,15.97,0.064,true,0.9102,2026-01-14T15:00:00Z
MKT-149,0.9247,0.929,16.15,0.0746,true,1.072,2026-01-14T16:30:00Z
MKT-150,0.8175,0.822,18.25,0.1869,true,3.0616,2026-01-14T18:00:00Z
MKT-151,0.8008,0.805,18.63,0.2047,true,3.4281,2026-01-14T19:30:00Z
MKT-152,0.9316,0.936,16.03,0.0672,true,0.9587,2026-01-14T21:00:00Z
MKT-153,0.8156,0.82,18.29,0.189,true,3.1032,2026-01-14T22:30:00Z
MKT-154,0.9497,0.954,15.72,0.0483,true,0.6748,2026-01-15T00:00:00Z
MKT-155,0.804,0.808,18.56,0.2016,false,-15.1981,2026-01-15T01:30:00Z
MKT-156,0.8206,0.825,18.18,0.1837,false,-15.1822,2026-01-15T03:00:00Z
MKT-157,0.9145,0.919,16.32,0.085,true,1.2369,2026-01-15T04:30:00Z
MKT-158,0.9619,0.966,15.53,0.0357,true,0.4923,2026-01-15T06:00:00Z
MKT-159,0.9358,0.94,15.96,0.063,true,0.8946,2026-01-15T07:30:00Z
MKT-160,0.9305,0.934,16.06,0.0693,true,0.9907,2026-01-15T09:00:00Z
MKT-161,0.9216,0.926,16.2,0.0777,true,1.1211,2026-01-15T10:30:00Z
MKT-162,0.9273,0.931,16.11,0.0724,false,-15.0708,2026-01-15T12:00:00Z
MKT-163,0.8104,0.814,18.43,0.1953,true,3.2327,2026-01-15T13:30:00Z
MKT-164,0.8959,0.9,16.67,0.105,true,1.562,2026-01-15T15:00:00Z
MKT-165,0.8412,0.845,17.75,0.1627,true,2.5886,2026-01-15T16:30:00Z
MKT-166,0.8425,0.846,17.73,0.1617,true,2.5687,2026-01-15T18:00:00Z
MKT-167,0.9281,0.932,16.09,0.0714,true,1.0227,2026-01-15T19:30:00Z
MKT-168,0.8625,0.866,17.32,0.1407,true,2.1802,2026-01-15T21:00:00Z
MKT-169,0.8595,0.864,17.36,0.1428,true,2.2182,2026-01-15T22:30:00Z
MKT-170,0.8142,0.818,18.34,0.1911,true,3.1468,2026-01-16T00:00:00Z
MKT-171,0.9654,0.969,15.48,0.0326,true,0.4473,2026-01-16T01:30:00Z
MKT-172,0.9271,0.931,16.11,0.0724,true,1.0392,2026-01-16T03:00:00Z
MKT-173,0.9174,0.921,16.29,0.083,true,1.2039,2026-01-16T04:30:00Z
MKT-174,0.9146,0.919,16.32,0.085,true,1.2369,2026-01-16T06:00:00Z
MKT-175,0.8822,0.886,16.93,0.1197,true,1.8103,2026-01-16T07:30:00Z
MKT-176,0.9526,0.957,15.67,0.0451,true,0.6287,2026-01-16T09:00:00Z
MKT-177,0.8163,0.82,18.29,0.189,true,3.1032,2026-01-16T10:30:00Z
MKT-178,0.9558,0.96,15.62,0.042,true,0.5828,2026-01-16T12:00:00Z
MKT-179,0.8753,0.879,17.06,0.127,true,1.9373,2026-01-16T13:30:00Z
MKT-180,0.8316,0.836,17.94,0.1722,true,2.77,2026-01-16T15:00:00Z
MKT-181,0.8339,0.838,17.9,0.1701,true,2.7297,2026-01-16T16:30:00Z
MKT-182,0.8535,0.858,17.48,0.1491,true,2.3331,2026-01-16T18:00:00Z
MKT-183,0.9175,0.921,16.29,0.083,false,-15.0861,2026-01-16T19:30:00Z
MKT-184,0.8503,0.854,17.56,0.1533,true,2.4105,2026-01-16T21:00:00Z
MKT-185,0.8702,0.874,17.16,0.1323,true,2.0299,2026-01-16T22:30:00Z
MKT-186,0.8994,0.903,16.61,0.1018,true,1.5094,2026-01-17T00:00:00Z
MKT-187,0.837,0.841,17.84,0.167,true,2.6696,2026-01-17T01:30:00Z
MKT-188,0.8815,0.886,16.93,0.1197,true,1.8103,2026-01-17T03:00:00Z
MKT-189,0.8293,0.833,18.01,0.1754,true,2.8323,2026-01-17T04:30:00Z
MKT-190,0.8547,0.859,17.46,0.148,true,2.3139,2026-01-17T06:00:00Z
MKT-191,0.8244,0.828,18.12,0.1806,false,-15.184,2026-01-17T07:30:00Z
MKT-192,0.8815,0.886,16.93,0.1197,true,1.8103,2026-01-17T09:00:00Z
MKT-193,0.8796,0.884,16.97,0.1218,true,1.8467,2026-01-17T10:30:00Z
MKT-194,0.9397,0.944,15.89,0.0588,true,0.831,2026-01-17T12:00:00Z
MKT-195,0.8818,0.886,16.93,0.1197,true,1.8103,2026-01-17T13:30:00Z
MKT-196,0.9456,0.95,15.79,0.0525,true,0.737,2026-01-17T15:00:00Z
MKT-197,0.9247,0.929,16.15,0.0746,false,-15.0779,2026-01-17T16:30:00Z
MKT-198,0.8795,0.883,16.99,0.1229,true,1.8649,2026-01-17T18:00:00Z
MKT-199,0.8399,0.844,17.77,0.1638,true,2.6083,2026-01-17T19:30:00Z
MKT-200,0.9148,0.919,16.32,0.085,false,-15.0831,2026-01-17T21:00:00Z
MKT-201,0.9452,0.949,15.81,0.0536,true,0.7527,2026-01-17T22:30:00Z
MKT-202,0.8322,0.836,17.94,0.1722,true,2.77,2026-01-18T00:00:00Z
MKT-203,0.8318,0.836,17.94,0.1722,true,2.77,2026-01-18T01:30:00Z
MKT-204,0.946,0.95,15.79,0.0525,true,0.737,2026-01-18T03:00:00Z
MKT-205,0.8434,0.847,17.71,0.1607,false,-15.1611,2026-01-18T04:30:00Z
MKT-206,0.8533,0.857,17.5,0.1501,true,2.3524,2026-01-18T06:00:00Z
MKT-207,0.9239,0.928,16.16,0.0756,true,1.0879,2026-01-18T07:30:00Z
MKT-208,0.8157,0.82,18.29,0.189,false,-15.1868,2026-01-18T09:00:00Z
MKT-209,0.8496,0.854,17.56,0.1533,true,2.4105,2026-01-18T10:30:00Z
MKT-210,0.8987,0.903,16.61,0.1018,true,1.5094,2026-01-18T12:00:00Z
MKT-211,0.8012,0.805,18.63,0.2047,true,3.4281,2026-01-18T13:30:00Z
MKT-212,0.8742,0.878,17.08,0.1281,true,1.9557,2026-01-18T15:00:00Z
MKT-213,0.8357,0.84,17.86,0.168,true,2.6896,2026-01-18T16:30:00Z
MKT-214,0.9624,0.966,15.53,0.0357,true,0.4923,2026-01-18T18:00:00Z
MKT-215,0.8925,0.897,16.72,0.1081,true,1.6141,2026-01-18T19:30:00Z
MKT-216,0.8467,0.851,17.63,0.1565,true,2.4704,2026-01-18T21:00:00Z
MKT-217,0.8191,0.823,18.23,0.1859,false,-15.1892,2026-01-18T22:30:00Z
MKT-218,0.9545,0.958,15.66,0.0441,true,0.6136,2026-01-19T00:00:00Z
MKT-219,0.96,0.964,15.56,0.0378,true,0.5224,2026-01-19T01:30:00Z
MKT-220,0.9313,0.935,16.04,0.0682,true,0.9744,2026-01-19T03:00:00Z
MKT-221,0.8502,0.854,17.56,0.1533,true,2.4105,2026-01-19T04:30:00Z
MKT-222,0.9112,0.915,16.39,0.0892,true,1.304,2026-01-19T06:00:00Z
MKT-223,0.8452,0.849,17.67,0.1586,true,2.5096,2026-01-19T07:30:00Z
MKT-224,0.9634,0.967,15.51,0.0346,true,0.4772,2026-01-19T09:00:00Z
MKT-225,0.8911,0.895,16.76,0.1103,true,1.6495,2026-01-19T10:30:00Z
MKT-226,0.884,0.888,16.89,0.1176,true,1.7741,2026-01-19T12:00:00Z
MKT-227,0.9221,0.926,16.2,0.0777,true,1.1211,2026-01-19T13:30:00Z
MKT-228,0.8963,0.9,16.67,0.105,true,1.562,2026-01-19T15:00:00Z
MKT-229,0.9098,0.914,16.41,0.0903,true,1.321,2026-01-19T16:30:00Z
MKT-230,0.8304,0.834,17.99,0.1743,false,-15.178,2026-01-19T18:00:00Z
MKT-231,0.9114,0.915,16.39,0.0892,true,1.304,2026-01-19T19:30:00Z
MKT-232,0.9584,0.962,15.59,0.0399,true,0.5525,2026-01-19T21:00:00Z
MKT-233,0.8564,0.86,17.44,0.147,true,2.2946,2026-01-19T22:30:00Z
MKT-234,0.9016,0.906,16.56,0.0987,true,1.4579,2026-01-20T00:00:00Z
MKT-235,0.9101,0.914,16.41,0.0903,true,1.321,2026-01-20T01:30:00Z
MKT-236,0.8531,0.857,17.5,0.1501,true,2.3524,2026-01-20T03:00:00Z
MKT-237,0.8117,0.816,18.38,0.1932,true,3.1887,2026-01-20T04:30:00Z
MKT-238,0.9283,0.932,16.09,0.0714,true,1.0227,2026-01-20T06:00:00Z
MKT-239,0.9257,0.93,16.13,0.0735,true,1.0556,2026-01-20T07:30:00Z
MKT-240,0.8452,0.849,17.67,0.1586,true,2.5096,2026-01-20T09:00:00Z
MKT-241,0.9483,0.952,15.76,0.0504,true,0.7061,2026-01-20T10:30:00Z
MKT-242,0.8858,0.89,16.85,0.1155,true,1.738,2026-01-20T12:00:00Z
MKT-243,0.9307,0.935,16.04,0.0682,true,0.9744,2026-01-20T13:30:00Z
MKT-244,0.8566,0.861,17.42,0.1459,true,2.2755,2026-01-20T15:00:00Z
MKT-245,0.8921,0.896,16.74,0.1092,true,1.6318,2026-01-20T16:30:00Z
MKT-246,0.86,0.864,17.36,0.1428,true,2.2182,2026-01-20T18:00:00Z
MKT-247,0.8191,0.823,18.23,0.1859,true,3.0408,2026-01-20T19:30:00Z
MKT-248,0.8169,0.821,18.27,0.1879,true,3.0824,2026-01-20T21:00:00Z
MKT-249,0.9324,0.936,16.03,0.0672,true,0.9587,2026-01-20T22:30:00Z
MKT-250,0.8314,0.835,17.96,0.1732,true,2.7902,2026-01-21T00:00:00Z
MKT-251,0.8708,0.875,17.14,0.1312,true,2.0113,2026-01-21T01:30:00Z
MKT-252,0.9387,0.943,15.91,0.0599,true,0.847,2026-01-21T03:00:00Z
MKT-253,0.9006,0.905,16.57,0.0997,true,1.4744,2026-01-21T04:30:00Z
MKT-254,0.8677,0.872,17.2,0.1344,true,2.0672,2026-01-21T06:00:00Z
MKT-255,0.8897,0.894,16.78,0.1113,true,1.6674,2026-01-21T07:30:00Z
MKT-256,0.8344,0.838,17.9,0.1701,true,2.7297,2026-01-21T09:00:00Z
MKT-257,0.9329,0.937,16.01,0.0662,true,0.9424,2026-01-21T10:30:00Z
MKT-258,0.9365,0.941,15.94,0.0619,true,0.8786,2026-01-21T12:00:00Z
MKT-259,0.9614,0.965,15.54,0.0367,true,0.5072,2026-01-21T13:30:00Z
MKT-260,0.8939,0.898,16.7,0.1071,true,1.5963,2026-01-21T15:00:00Z
MKT-261,0.9077,0.912,16.45,0.0924,false,-15.0948,2026-01-21T16:30:00Z
MKT-262,0.9167,0.921,16.29,0.083,true,1.2039,2026-01-21T18:00:00Z
MKT-263,0.9462,0.95,15.79,0.0525,true,0.737,2026-01-21T19:30:00Z
MKT-264,0.9022,0.906,16.56,0.0987,true,1.4579,2026-01-21T21:00:00Z
MKT-265,0.8004,0.804,18.66,0.2058,true,3.4516,2026-01-21T22:30:00Z
MKT-266,0.9125,0.917,16.36,0.0872,true,1.2707,2026-01-22T00:00:00Z
MKT-267,0.889,0.893,16.8,0.1124,true,1.6852,2026-01-22T01:30:00Z
MKT-268,0.8329,0.837,17.92,0.1711,true,2.7499,2026-01-22T03:00:00Z
MKT-269,0.8063,0.81,18.52,0.1995,true,3.3193,2026-01-22T04:30:00Z
MKT-270,0.9098,0.914,16.41,0.0903,true,1.321,2026-01-22T06:00:00Z
MKT-271,0.8962,0.9,16.67,0.105,false,-15.108,2026-01-22T07:30:00Z
MKT-272,0.9516,0.956,15.69,0.0462,true,0.6442,2026-01-22T09:00:00Z
MKT-273,0.9347,0.939,15.97,0.064,true,0.9102,2026-01-22T10:30:00Z
MKT-274,0.8086,0.813,18.45,0.1963,true,3.2539,2026-01-22T12:00:00Z
MKT-275,0.8397,0.844,17.77,0.1638,true,2.6083,2026-01-22T13:30:00Z
MKT-276,0.8916,0.896,16.74,0.1092,false,-15.1082,2026-01-22T15:00:00Z
MKT-277,0.8549,0.859,17.46,0.148,false,-15.1461,2026-01-22T16:30:00Z
MKT-278,0.9181,0.922,16.27,0.0819,true,1.1872,2026-01-22T18:00:00Z
MKT-279,0.9459,0.95,15.79,0.0525,true,0.737,2026-01-22T19:30:00Z
MKT-280,0.9576,0.962,15.59,0.0399,true,0.5525,2026-01-22T21:00:00Z
MKT-281,0.9258,0.93,16.13,0.0735,true,1.0556,2026-01-22T22:30:00Z
MKT-282,0.9371,0.941,15.94,0.0619,true,0.8786,2026-01-23T00:00:00Z
MKT-283,0.9464,0.95,15.79,0.0525,true,0.737,2026-01-23T01:30:00Z
MKT-284,0.9287,0.933,16.08,0.0704,true,1.007,2026-01-23T03:00:00Z
MKT-285,0.8186,0.823,18.23,0.1859,true,3.0408,2026-01-23T04:30:00Z
MKT-286,0.8133,0.817,18.36,0.1922,true,3.1677,2026-01-23T06:00:00Z
MKT-287,0.8273,0.831,18.05,0.1774,true,2.8731,2026-01-23T07:30:00Z
MKT-288,0.9189,0.923,16.25,0.0808,true,1.1704,2026-01-23T09:00:00Z
MKT-289,0.8718,0.876,17.12,0.1302,true,1.9927,2026-01-23T10:30:00Z
MKT-290,0.8518,0.856,17.52,0.1512,true,2.3717,2026-01-23T12:00:00Z
MKT-291,0.9287,0.933,16.08,0.0704,true,1.007,2026-01-23T13:30:00Z
MKT-292,0.8307,0.835,17.96,0.1732,false,-15.1698,2026-01-23T15:00:00Z
MKT-293,0.9223,0.926,16.2,0.0777,true,1.1211,2026-01-23T16:30:00Z
MKT-294,0.8631,0.867,17.3,0.1396,true,2.1613,2026-01-23T18:00:00Z
MKT-295,0.9014,0.905,16.57,0.0997,true,1.4744,2026-01-23T19:30:00Z
MKT-296,0.8005,0.804,18.66,0.2058,true,3.4516,2026-01-23T21:00:00Z
MKT-297,0.9331,0.937,16.01,0.0662,true,0.9424,2026-01-23T22:30:00Z
MKT-298,0.8782,0.882,17.01,0.1239,true,1.8833,2026-01-24T00:00:00Z
MKT-299,0.8356,0.84,17.86,0.168,true,2.6896,2026-01-24T01:30:00Z
MKT-300,0.8686,0.873,17.18,0.1333,true,2.0486,2026-01-24T03:00:00Z
MKT-301,0.8047,0.809,18.54,0.2005,true,3.3406,2026-01-24T04:30:00Z
MKT-302,0.8286,0.833,18.01,0.1754,true,2.8323,2026-01-24T06:00:00Z
MKT-303,0.8102,0.814,18.43,0.1953,true,3.2327,2026-01-24T07:30:00Z
